SN,ID,Year,Semester,CourseLevel,CourseType,Gender,Asignment,StudentsGrade,InstructorsGrade,Difference,Behavior,,,
910,13C21,2016,2,2,F2F,0,quiz2,80,100,20,0,,,
246,13B12,2016,2,2,F2F,1,quiz2,80,100,20,0,,,
243,13A20,2016,2,2,F2F,1,quiz3,80,100,20,0,,,
28,13B22,2016,2,2,F2F,1,quiz3,80,100,20,0,,,
544,13C16,2016,2,2,F2F,0,quiz4,70,90,20,0,,,
1326,11B10,2016,1,2,F2F,1,quiz3,50,70,20,0,,,
597,13A29,2016,2,2,F2F,0,quiz6,80,100,20,0,,,
1147,13A29,2016,2,2,F2F,0,test3,80,100,20,0,,,
1199,23B14,2016,2,2,F2F,1,Quiz1,71,91,20,0,,,
791,13D7,2016,2,2,F2F,1,Quiz4,71,91,20,0,,,
1231,13D7,2016,2,2,F2F,1,Test1,71,91,20,0,,,
763,13C11,2016,2,2,F2F,0,FINAL,70,92,22,0,,,
2363,31B18,2016,1,2,F2F,0,Medterm II,35,57,22,0,,,
966,13C6,2016,2,2,F2F,1,Quiz6,64,86,22,0,,,
1264,13A27,2016,2,2,F2F,1,Test3,64,86,22,0,,,
1186,13C6,2016,2,2,F2F,1,final,67,90,23,0,,,
1216,23A19,2016,2,2,F2F,1,Quiz8,73,96,23,0,,,
29,13B18,2016,2,2,F2F,1,quiz1,75,100,25,0,,,
585,13D12,2016,2,2,F2F,0,final,73,98,25,0,,,
379,13B4,2016,2,2,F2F,0,Quiz3,70,95,25,0,,,
593,13B19,2016,2,2,F2F,1,Quiz4,70,95,25,0,,,
2221,41A09,2016,1,2,F2F,0,Test2,55,80,25,0,,,
2515,11C1,2016,1,2,F2F,1,Test3,52,77,25,0,,,
1712,21B8,2016,1,2,F2F,1,Quiz7,50,75,25,0,,,
1740,21C13,2016,1,2,F2F,0,Quiz8,50,75,25,0,,,
929,13B4,2016,2,2,F2F,0,quiz2,70,95,25,0,,,
2507,31C03,2016,1,2,F2F,1,quiz6,50,75,25,0,,,
943,13C13,2016,2,2,F2F,1,Test3,65,91,26,0,,,
1219,23A3,2016,2,2,F2F,0,test4,68,94,26,0,,,
740,13B15,2016,2,2,F2F,1,Quiz2,60,86,26,0,,,
329,13D13,2016,2,2,F2F,1,Quiz5,60,86,26,0,,,
659,13D13,2016,2,2,F2F,1,Test2,60,86,26,0,,,
359,13B18,2016,2,2,F2F,1,Quiz2,70,100,30,0,,,
909,13B18,2016,2,2,F2F,0,Quiz3,70,100,30,0,,,
572,13A30,2016,2,2,F2F,0,Quiz7,70,100,30,0,,,
1122,13A30,2016,2,2,F2F,0,Quiz8,70,100,30,0,,,
842,13C22,2016,2,2,F2F,1,quiz1,70,100,30,0,,,
187,13A13,2016,2,2,F2F,0,Quiz 1,60,90,30,0,,,
517,13A13,2016,2,2,F2F,0,Quiz 3,60,90,30,0,,,
2222,41A08,2016,1,2,F2F,0,Quiz1,50,80,30,0,,,
2223,41A08,2016,1,2,F2F,0,Quiz2,50,80,30,0,,,
2224,41A01,2016,1,2,F2F,1,Quiz3,50,80,30,0,,,
2225,41A01,2016,1,2,F2F,1,Quiz6,50,80,30,0,,,
2226,41A20,2016,1,2,F2F,0,Quiz6,50,80,30,0,,,
2227,41A18,2016,1,2,F2F,1,Quiz7,50,80,30,0,,,
2228,41A20,2016,1,2,F2F,1,quiz1,50,80,30,0,,,
1282,13C22,2016,2,2,F2F,0,quiz2,70,100,30,0,,,
824,13A27,2016,2,2,F2F,1,quiz2,70,100,30,0,,,
832,13A21,2016,2,2,F2F,0,quiz6,70,100,30,0,,,
691,13B2,2016,2,2,F2F,1,quiz9,70,100,30,0,,,
32,13D20,2016,2,2,F2F,1,test3,70,100,30,0,,,
1067,13A13,2016,2,2,F2F,0,quiz6,60,90,30,0,,,
395,13C7,2016,2,2,F2F,0,test1,60,90,30,0,,,
2229,41A19,2016,1,2,F2F,0,quiz6,50,80,30,0,,,
2230,41A27,2016,1,2,F2F,1,quiz6,50,80,30,0,,,
2231,41A27,2016,1,2,F2F,0,test1,50,80,30,0,,,
2232,41A32,2016,1,2,F2F,0,test3,50,80,30,0,,,
391,13C29,2016,2,2,F2F,0,test3,65,95,30,0,,,
96,13A14,2016,2,2,F2F,0,test4,53,84,31,0,,,
58,23B17,2016,2,2,F2F,0,test2,60,91.5,31.5,0,,,
1203,13C11,2016,2,2,F2F,0,Test1,60,92,32,0,,,
501,13C29,2016,2,2,F2F,1,Quiz7,60,95,35,0,,,
142,13D20,2016,2,2,F2F,1,Quiz2,60,100,40,0,,,
362,13D20,2016,2,2,F2F,0,Quiz5,60,100,40,0,,,
472,13D20,2016,2,2,F2F,0,Quiz5,60,100,40,0,,,
1022,13D20,2016,2,2,F2F,1,Quiz5,60,100,40,0,,,
405,13B1,2016,2,2,F2F,0,Quiz8,50,90,40,0,,,
823,13B11,2016,2,2,F2F,1,Test3,45,85,40,0,,,
2233,41A17,2016,1,2,F2F,0,Quiz4,40,80,40,0,,,
1051,13C29,2016,2,2,F2F,0,Quiz6,50,95,45,0,,,
1097,23B8,2016,2,2,F2F,0,Quiz8,50,95,45,0,,,
584,13B26,2016,2,2,F2F,1,quiz3,50,100,50,0,,,
955,13B1,2016,2,2,F2F,1,quiz3,40,90,50,0,,,
700,13B14,2016,2,2,F2F,0,quiz6,50,100,50,0,,,
76,13B32,2016,2,2,F2F,1,quiz7,40,90,50,0,,,
